"pathway","source","size","FAC_vs_Cont:
p-value","FAC_vs_Cont:
Benjamin-Hochberg adjusted p-value","FAC_vs_Cont:
Normalized enrichment score","LiproxposFAC_vs_Cont:
p-value","LiproxposFAC_vs_Cont:
Benjamin-Hochberg adjusted p-value","LiproxposFAC_vs_Cont:
Normalized enrichment score","MTposFAC_vs_Cont:
p-value","MTposFAC_vs_Cont:
Benjamin-Hochberg adjusted p-value","MTposFAC_vs_Cont:
Normalized enrichment score"
"GOBP_CELLULAR_RESPONSE_TO_MOLECULE_OF_BACTERIAL_ORIGIN","GOBP",229,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GOBP_CELLULAR_RESPONSE_TO_MURAMYL_DIPEPTIDE","GOBP",9,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GOBP_CELLULAR_RESPONSE_TO_NICOTINE","GOBP",7,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GOBP_CELLULAR_RESPONSE_TO_NITROGEN_COMPOUND","GOBP",698,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GOBP_CELLULAR_RESPONSE_TO_NITROGEN_STARVATION","GOBP",12,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GOBP_CELLULAR_RESPONSE_TO_NITROSATIVE_STRESS","GOBP",6,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GOBP_CELLULAR_RESPONSE_TO_NUTRIENT","GOBP",42,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GOBP_CELLULAR_RESPONSE_TO_ORGANIC_CYCLIC_COMPOUND","GOBP",576,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GOBP_CELLULAR_RESPONSE_TO_OSMOTIC_STRESS","GOBP",40,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GOBP_CELLULAR_RESPONSE_TO_OXIDISED_LOW_DENSITY_LIPOPROTEIN_PARTICLE_STIMULUS","GOBP",12,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GOBP_CELLULAR_RESPONSE_TO_OXYGEN_CONTAINING_COMPOUND","GOBP",1199,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GOBP_CELLULAR_RESPONSE_TO_OXYGEN_GLUCOSE_DEPRIVATION","GOBP",5,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GOBP_CELLULAR_RESPONSE_TO_OXYGEN_LEVELS","GOBP",165,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GOBP_CELLULAR_RESPONSE_TO_OXYGEN_RADICAL","GOBP",25,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GOBP_CELLULAR_RESPONSE_TO_PARATHYROID_HORMONE_STIMULUS","GOBP",7,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GOBP_CELLULAR_RESPONSE_TO_PEPTIDE","GOBP",364,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GOBP_CELLULAR_RESPONSE_TO_PEPTIDE_HORMONE_STIMULUS","GOBP",294,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GOBP_CELLULAR_RESPONSE_TO_PEPTIDOGLYCAN","GOBP",6,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GOBP_CELLULAR_RESPONSE_TO_PH","GOBP",27,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GOBP_CELLULAR_RESPONSE_TO_POTASSIUM_ION","GOBP",12,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GOBP_CELLULAR_RESPONSE_TO_PROGESTERONE_STIMULUS","GOBP",6,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GOBP_CELLULAR_RESPONSE_TO_PROSTAGLANDIN_E_STIMULUS","GOBP",15,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GOBP_CELLULAR_RESPONSE_TO_PROSTAGLANDIN_STIMULUS","GOBP",20,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GOBP_CELLULAR_RESPONSE_TO_PURINE_CONTAINING_COMPOUND","GOBP",13,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GOBP_CELLULAR_RESPONSE_TO_RADIATION","GOBP",188,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GOBP_CELLULAR_RESPONSE_TO_REACTIVE_NITROGEN_SPECIES","GOBP",19,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GOBP_CELLULAR_RESPONSE_TO_REACTIVE_OXYGEN_SPECIES","GOBP",147,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GOBP_CELLULAR_RESPONSE_TO_RETINOIC_ACID","GOBP",67,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GOBP_CELLULAR_RESPONSE_TO_SALT","GOBP",7,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GOBP_CELLULAR_RESPONSE_TO_SALT_STRESS","GOBP",11,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GOBP_CELLULAR_RESPONSE_TO_SODIUM_ARSENITE","GOBP",5,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GOBP_CELLULAR_RESPONSE_TO_STARVATION","GOBP",160,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GOBP_CELLULAR_RESPONSE_TO_STEROID_HORMONE_STIMULUS","GOBP",203,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GOBP_CELLULAR_RESPONSE_TO_STEROL","GOBP",23,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GOBP_CELLULAR_RESPONSE_TO_STEROL_DEPLETION","GOBP",16,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GOBP_CELLULAR_RESPONSE_TO_STRESS","GOBP",1869,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GOBP_CELLULAR_RESPONSE_TO_TEMPERATURE_STIMULUS","GOBP",5,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GOBP_CELLULAR_RESPONSE_TO_TESTOSTERONE_STIMULUS","GOBP",11,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GOBP_CELLULAR_RESPONSE_TO_THYROID_HORMONE_STIMULUS","GOBP",17,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GOBP_CELLULAR_RESPONSE_TO_TOPOLOGICALLY_INCORRECT_PROTEIN","GOBP",116,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GOBP_CELLULAR_RESPONSE_TO_TOXIC_SUBSTANCE","GOBP",123,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GOBP_CELLULAR_RESPONSE_TO_UNFOLDED_PROTEIN","GOBP",97,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GOBP_CELLULAR_RESPONSE_TO_UV","GOBP",89,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GOBP_CELLULAR_RESPONSE_TO_UV_A","GOBP",11,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GOBP_CELLULAR_RESPONSE_TO_UV_B","GOBP",8,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GOBP_CELLULAR_RESPONSE_TO_UV_C","GOBP",6,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GOBP_CELLULAR_RESPONSE_TO_VASCULAR_ENDOTHELIAL_GROWTH_FACTOR_STIMULUS","GOBP",74,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GOBP_CELLULAR_RESPONSE_TO_VIRUS","GOBP",85,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GOBP_CELLULAR_RESPONSE_TO_VITAMIN","GOBP",31,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GOBP_CELLULAR_RESPONSE_TO_VITAMIN_D","GOBP",22,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GOBP_CELLULAR_RESPONSE_TO_WATER_STIMULUS","GOBP",7,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GOBP_CELLULAR_RESPONSE_TO_X_RAY","GOBP",13,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GOBP_CELLULAR_RESPONSE_TO_XENOBIOTIC_STIMULUS","GOBP",168,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GOBP_CELLULAR_RESPONSE_TO_ZINC_ION","GOBP",24,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GOBP_CELLULAR_SENESCENCE","GOBP",91,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GOBP_CELLULAR_SODIUM_ION_HOMEOSTASIS","GOBP",22,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GOBP_CELLULAR_SPHINGOLIPID_HOMEOSTASIS","GOBP",5,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GOBP_CELLULAR_TRANSITION_METAL_ION_HOMEOSTASIS","GOBP",115,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GOBP_CELLULAR_TRIGLYCERIDE_HOMEOSTASIS","GOBP",7,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GOBP_CELLULAR_TRIVALENT_INORGANIC_ANION_HOMEOSTASIS","GOBP",9,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GOBP_CELLULAR_WATER_HOMEOSTASIS","GOBP",6,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GOBP_CENP_A_CONTAINING_CHROMATIN_ORGANIZATION","GOBP",7,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GOBP_CENTRAL_NERVOUS_SYSTEM_DEVELOPMENT","GOBP",1027,0.631031031031031,0.8595684083689342,-0.9263494211183069,0.9241220735785953,0.9564231026370483,-0.6019962566304669,0.8499900259325753,0.895525205893249,0.7161848662676356
"GOBP_CENTRAL_NERVOUS_SYSTEM_MATURATION","GOBP",7,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GOBP_CENTRAL_NERVOUS_SYSTEM_MYELIN_FORMATION","GOBP",6,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GOBP_CENTRAL_NERVOUS_SYSTEM_MYELIN_MAINTENANCE","GOBP",5,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GOBP_CENTRAL_NERVOUS_SYSTEM_NEURON_AXONOGENESIS","GOBP",35,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GOBP_CENTRAL_NERVOUS_SYSTEM_NEURON_DEVELOPMENT","GOBP",80,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GOBP_CENTRAL_NERVOUS_SYSTEM_NEURON_DIFFERENTIATION","GOBP",169,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GOBP_CENTRAL_NERVOUS_SYSTEM_PROJECTION_NEURON_AXONOGENESIS","GOBP",26,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GOBP_CENTRIOLE_ASSEMBLY","GOBP",47,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GOBP_CENTRIOLE_CENTRIOLE_COHESION","GOBP",14,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GOBP_CENTRIOLE_ELONGATION","GOBP",8,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GOBP_CENTROMERE_COMPLEX_ASSEMBLY","GOBP",31,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GOBP_CENTROMERIC_SISTER_CHROMATID_COHESION","GOBP",12,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GOBP_CENTROSOME_DUPLICATION","GOBP",75,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GOBP_CENTROSOME_SEPARATION","GOBP",15,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GOBP_CERAMIDE_1_PHOSPHATE_TRANSPORT","GOBP",8,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GOBP_CERAMIDE_BIOSYNTHETIC_PROCESS","GOBP",67,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GOBP_CERAMIDE_CATABOLIC_PROCESS","GOBP",21,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GOBP_CERAMIDE_METABOLIC_PROCESS","GOBP",105,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GOBP_CERAMIDE_TRANSPORT","GOBP",18,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GOBP_CEREBELLAR_CORTEX_DEVELOPMENT","GOBP",50,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GOBP_CEREBELLAR_CORTEX_FORMATION","GOBP",25,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GOBP_CEREBELLAR_CORTEX_MORPHOGENESIS","GOBP",34,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GOBP_CEREBELLAR_GRANULAR_LAYER_DEVELOPMENT","GOBP",13,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GOBP_CEREBELLAR_GRANULAR_LAYER_FORMATION","GOBP",7,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GOBP_CEREBELLAR_GRANULAR_LAYER_MORPHOGENESIS","GOBP",9,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GOBP_CEREBELLAR_PURKINJE_CELL_GRANULE_CELL_PRECURSOR_CELL_SIGNALING_INVOLVED_IN_REGULATION_OF_GRANULE_CELL_PRECURSOR_CELL_PROLIFERATION","GOBP",5,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GOBP_CEREBELLAR_PURKINJE_CELL_LAYER_DEVELOPMENT","GOBP",27,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GOBP_CEREBELLAR_PURKINJE_CELL_LAYER_FORMATION","GOBP",14,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GOBP_CEREBELLAR_PURKINJE_CELL_LAYER_MORPHOGENESIS","GOBP",18,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GOBP_CEREBRAL_CORTEX_CELL_MIGRATION","GOBP",44,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GOBP_CEREBRAL_CORTEX_DEVELOPMENT","GOBP",112,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GOBP_CEREBRAL_CORTEX_GABAERGIC_INTERNEURON_DEVELOPMENT","GOBP",7,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GOBP_CEREBRAL_CORTEX_GABAERGIC_INTERNEURON_DIFFERENTIATION","GOBP",10,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GOBP_CEREBRAL_CORTEX_NEURON_DIFFERENTIATION","GOBP",26,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GOBP_CEREBRAL_CORTEX_RADIALLY_ORIENTED_CELL_MIGRATION","GOBP",33,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GOBP_CEREBRAL_CORTEX_REGIONALIZATION","GOBP",7,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GOBP_CEREBRAL_CORTEX_TANGENTIAL_MIGRATION","GOBP",6,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GOBP_CEREBROSPINAL_FLUID_CIRCULATION","GOBP",14,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GOBP_CGMP_BIOSYNTHETIC_PROCESS","GOBP",11,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GOBP_CGMP_MEDIATED_SIGNALING","GOBP",33,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GOBP_CGMP_METABOLIC_PROCESS","GOBP",16,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GOBP_CHANGES_TO_DNA_METHYLATION_INVOLVED_IN_EMBRYO_DEVELOPMENT","GOBP",9,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GOBP_CHAPERONE_COFACTOR_DEPENDENT_PROTEIN_REFOLDING","GOBP",34,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GOBP_CHAPERONE_MEDIATED_AUTOPHAGY","GOBP",16,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GOBP_CHAPERONE_MEDIATED_PROTEIN_COMPLEX_ASSEMBLY","GOBP",23,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GOBP_CHAPERONE_MEDIATED_PROTEIN_FOLDING","GOBP",72,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GOBP_CHEMICAL_HOMEOSTASIS","GOBP",1208,0.7410678442392613,0.8595684083689342,-0.8430749508093441,0.21633825944170773,0.41907991620737506,-1.193940815222972,0.3895870736086176,0.6297434888468065,-1.0767207605458127
"GOBP_CHEMICAL_HOMEOSTASIS_WITHIN_A_TISSUE","GOBP",17,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GOBP_CHEMICAL_SYNAPTIC_TRANSMISSION_POSTSYNAPTIC","GOBP",101,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GOBP_CHEMOKINE_C_C_MOTIF_LIGAND_5_PRODUCTION","GOBP",11,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GOBP_CHEMOKINE_C_X_C_MOTIF_LIGAND_1_PRODUCTION","GOBP",6,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GOBP_CHEMOKINE_C_X_C_MOTIF_LIGAND_12_SIGNALING_PATHWAY","GOBP",6,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GOBP_CHEMOKINE_C_X_C_MOTIF_LIGAND_2_PRODUCTION","GOBP",18,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GOBP_CHEMOKINE_PRODUCTION","GOBP",98,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GOBP_CHEMOREPULSION_OF_AXON","GOBP",6,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GOBP_CHEMOSENSORY_BEHAVIOR","GOBP",16,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GOBP_CHIASMA_ASSEMBLY","GOBP",7,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GOBP_CHITIN_METABOLIC_PROCESS","GOBP",6,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GOBP_CHLORIDE_TRANSMEMBRANE_TRANSPORT","GOBP",67,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GOBP_CHLORIDE_TRANSPORT","GOBP",112,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GOBP_CHOLESTEROL_CATABOLIC_PROCESS","GOBP",11,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GOBP_CHOLESTEROL_EFFLUX","GOBP",69,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GOBP_CHOLESTEROL_STORAGE","GOBP",21,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GOBP_CHOLINE_METABOLIC_PROCESS","GOBP",6,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GOBP_CHOLINE_TRANSPORT","GOBP",9,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GOBP_CHONDROBLAST_DIFFERENTIATION","GOBP",5,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GOBP_CHONDROCYTE_DEVELOPMENT","GOBP",31,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GOBP_CHONDROCYTE_DEVELOPMENT_INVOLVED_IN_ENDOCHONDRAL_BONE_MORPHOGENESIS","GOBP",8,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GOBP_CHONDROCYTE_DIFFERENTIATION","GOBP",110,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GOBP_CHONDROCYTE_DIFFERENTIATION_INVOLVED_IN_ENDOCHONDRAL_BONE_MORPHOGENESIS","GOBP",15,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GOBP_CHONDROCYTE_HYPERTROPHY","GOBP",6,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GOBP_CHONDROCYTE_PROLIFERATION","GOBP",23,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GOBP_CHONDROITIN_SULFATE_BIOSYNTHETIC_PROCESS","GOBP",18,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GOBP_CHONDROITIN_SULFATE_PROTEOGLYCAN_BIOSYNTHETIC_PROCESS","GOBP",23,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GOBP_CHONDROITIN_SULFATE_PROTEOGLYCAN_METABOLIC_PROCESS","GOBP",35,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GOBP_CHORIO_ALLANTOIC_FUSION","GOBP",7,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GOBP_CHORION_DEVELOPMENT","GOBP",8,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GOBP_CHORIONIC_TROPHOBLAST_CELL_DIFFERENTIATION","GOBP",5,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GOBP_CHORIONIC_TROPHOBLAST_CELL_PROLIFERATION","GOBP",5,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GOBP_CHROMATIN_ASSEMBLY_OR_DISASSEMBLY","GOBP",233,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GOBP_CHROMATIN_DISASSEMBLY","GOBP",21,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GOBP_CHROMATIN_ORGANIZATION","GOBP",591,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GOBP_CHROMATIN_REMODELING","GOBP",267,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GOBP_CHROMATIN_REMODELING_AT_CENTROMERE","GOBP",11,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GOBP_CHROMOSOME_ATTACHMENT_TO_THE_NUCLEAR_ENVELOPE","GOBP",6,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GOBP_CHROMOSOME_CONDENSATION","GOBP",49,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GOBP_CHROMOSOME_LOCALIZATION","GOBP",85,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GOBP_CHROMOSOME_LOCALIZATION_TO_NUCLEAR_ENVELOPE_INVOLVED_IN_HOMOLOGOUS_CHROMOSOME_SEGREGATION","GOBP",10,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GOBP_CHROMOSOME_MOVEMENT_TOWARDS_SPINDLE_POLE","GOBP",7,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GOBP_CHROMOSOME_ORGANIZATION","GOBP",1033,0.6696105981533521,0.8595684083689342,-0.8883111661186776,0.951559934318555,0.9564231026370483,-0.6993369698260121,0.42132691922228904,0.6507405296888757,1.0567642966518342
"GOBP_CHROMOSOME_ORGANIZATION_INVOLVED_IN_MEIOTIC_CELL_CYCLE","GOBP",72,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GOBP_CHROMOSOME_SEGREGATION","GOBP",350,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GOBP_CHROMOSOME_SEPARATION","GOBP",97,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GOBP_CHRONIC_INFLAMMATORY_RESPONSE","GOBP",17,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GOBP_CILIARY_BASAL_BODY_ORGANIZATION","GOBP",5,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GOBP_CILIARY_NEUROTROPHIC_FACTOR_MEDIATED_SIGNALING_PATHWAY","GOBP",5,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GOBP_CILIUM_MOVEMENT","GOBP",185,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GOBP_CILIUM_OR_FLAGELLUM_DEPENDENT_CELL_MOTILITY","GOBP",149,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GOBP_CILIUM_ORGANIZATION","GOBP",410,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GOBP_CIRCADIAN_REGULATION_OF_GENE_EXPRESSION","GOBP",69,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GOBP_CIRCADIAN_RHYTHM","GOBP",205,0.2810116419108792,0.8595684083689342,-1.1413137154593735,0.7590311986863711,0.8579088261014539,-0.8214770834160009,0.8128864951127069,0.8931155160456185,-0.7823393179395116
"GOBP_CIRCADIAN_SLEEP_WAKE_CYCLE","GOBP",23,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GOBP_CIRCADIAN_SLEEP_WAKE_CYCLE_NON_REM_SLEEP","GOBP",6,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GOBP_CIRCADIAN_SLEEP_WAKE_CYCLE_REM_SLEEP","GOBP",5,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GOBP_CIRCADIAN_SLEEP_WAKE_CYCLE_SLEEP","GOBP",17,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GOBP_CIRCULATORY_SYSTEM_DEVELOPMENT","GOBP",1199,0.8468450479233227,0.889615931721195,0.7230376586087038,0.3407190635451505,0.5262414855802062,-1.1252606916135974,0.7029464822609741,0.8798256799207729,-0.8551321349637878
"GOBP_CIRCULATORY_SYSTEM_PROCESS","GOBP",597,0.6276892430278884,0.8595684083689342,0.9131988948329796,0.06217111674137595,0.41907991620737506,1.2905556643569862,0.06213670074163159,0.6297434888468065,1.2873090432399417
"GOBP_CITRATE_METABOLIC_PROCESS","GOBP",5,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GOBP_CITRULLINE_BIOSYNTHETIC_PROCESS","GOBP",5,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GOBP_CITRULLINE_METABOLIC_PROCESS","GOBP",8,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GOBP_CLATHRIN_COAT_ASSEMBLY","GOBP",18,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GOBP_CLATHRIN_DEPENDENT_ENDOCYTOSIS","GOBP",46,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GOBP_CLEAVAGE_FURROW_FORMATION","GOBP",7,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GOBP_CLEAVAGE_INVOLVED_IN_RRNA_PROCESSING","GOBP",27,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GOBP_CLUSTERING_OF_VOLTAGE_GATED_SODIUM_CHANNELS","GOBP",6,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GOBP_COBALAMIN_METABOLIC_PROCESS","GOBP",14,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GOBP_COBALAMIN_TRANSPORT","GOBP",8,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GOBP_COBALT_ION_TRANSPORT","GOBP",7,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GOBP_COCHLEA_DEVELOPMENT","GOBP",49,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GOBP_COCHLEA_MORPHOGENESIS","GOBP",24,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GOBP_COENZYME_A_BIOSYNTHETIC_PROCESS","GOBP",11,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GOBP_COENZYME_A_METABOLIC_PROCESS","GOBP",18,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GOBP_COGNITION","GOBP",306,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GOBP_COHESIN_LOADING","GOBP",6,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GOBP_COLLAGEN_ACTIVATED_SIGNALING_PATHWAY","GOBP",17,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GOBP_COLLAGEN_ACTIVATED_TYROSINE_KINASE_RECEPTOR_SIGNALING_PATHWAY","GOBP",12,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GOBP_COLLAGEN_BIOSYNTHETIC_PROCESS","GOBP",47,0.7410678442392613,0.8595684083689342,-0.8430749508093441,0.21633825944170773,0.41907991620737506,-1.193940815222972,0.3895870736086176,0.6297434888468065,-1.0767207605458127
"GOBP_COLLAGEN_CATABOLIC_PROCESS","GOBP",42,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GOBP_COLLAGEN_FIBRIL_ORGANIZATION","GOBP",62,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GOBP_COLLAGEN_METABOLIC_PROCESS","GOBP",101,0.7410678442392613,0.8595684083689342,-0.8430749508093441,0.21633825944170773,0.41907991620737506,-1.193940815222972,0.3895870736086176,0.6297434888468065,-1.0767207605458127
"GOBP_COLLATERAL_SPROUTING","GOBP",25,NA,NA,NA,NA,NA,NA,NA,NA,NA
